LoanNumber,GLPrincipalBalance,APR,AmortizedPaymentAmount,DaysPastDue,OriginalValue,CreditScore,Term,Mo_Term,Mo_Payment,Rem_Term,Seasoning,Bad
738,5627.61,21.99,330.04,22,7175,598,60,68,330.04,21,0.69,0
740,8276.93,21.99,493,26,9350,484,56,69,493.00,20,0.71,0
741,8875.21,19.99,675.13,0,13825,669,60,73,675.13,15,0.79,0
742,8017.48,22.26,643.69,0,20475,567,72,60,643.69,14,0.77,0
743,4140.87,21,368,17,5675,608,66,60,368.00,13,0.78,0
744,1625.32,21,443,0,11050,581,54,68,443.00,4,0.94,0
746,2117.32,21,392,0,6700,615,54,68,392.00,6,0.91,0
747,2074.81,21,467,214,12500,529,61,73,467.00,5,0.93,1
748,3958.65,21,406,27,7400,584,54,69,406.00,11,0.84,0
749,1965.32,21,421,0,8350,514,54,73,421.00,5,0.93,0
750,2394.72,21,306,0,4925,685,56,66,306.00,8,0.88,0
752,2216.06,21,407,0,7900,485,54,70,407.00,6,0.91,0
753,1636.46,21,214,0,6425,595,60,66,214.00,8,0.88,0
754,3209.97,21,334,76,7000,623,55,60,334.00,11,0.82,0
755,3039.62,21,406,0,7900,547,54,66,406.00,8,0.88,0
756,5222.4,21,369,0,5525,541,62,68,369.00,16,0.76,0
757,2378.25,21,401,14,6275,562,55,66,401.00,6,0.91,0
758,4427.27,26.98,283.17,0,5900,655,62,69,283.17,19,0.72,0
759,7004.44,16.18,241.13,2,9425,672,120,32,482.26,16,0.50,0
760,6999.15,16.15,525.05,31,11025,590,60,66,525.05,15,0.77,0
761,5463.41,16.16,475.45,0,8975,614,59,66,475.45,13,0.80,0
762,1998.94,15.96,202.96,0,9850,636,108,33,405.92,5,0.85,0
763,5516.3,16.18,268.53,0,12350,569,120,27,537.06,11,0.59,0
764,6561.18,16.14,263.22,0,10675,659,118,31,526.44,14,0.55,0
765,6293.23,15.19,276,0,12525,601,120,37,552.00,12,0.68,0
766,6584.06,18.07,200,0,13300,566,141,26,432.00,17,0.35,0
767,3796.01,17.8,457.22,31,10600,569,50,66,457.22,9,0.86,0
768,4434.02,19.75,268.77,130,5625,546,60,67,268.77,19,0.72,1
769,3201.49,24.15,420,68,8500,534,42,66,420.00,8,0.88,0
770,5184.57,23.33,570.96,7,11625,565,52,70,570.96,10,0.86,0
771,4668.09,23.38,175,1227,1900,610,73,31,378.00,14,0.55,1
772,8171.51,27,220,6,9300,479,139,31,475.20,22,0.29,0
773,3048.49,19.9,280,60,4300,588,51,54,280.00,12,0.78,0
774,7652.44,21,469.17,43,8725,548,64,64,469.17,19,0.70,0
775,5740.85,21,421.92,64,5825,594,52,56,421.92,16,0.71,0
776,12312.1,21,405.59,1138,6500,601,60,66,405.59,44,0.33,1
777,5781.27,21,464.63,0,10725,597,60,66,464.63,14,0.79,0
778,4667.11,26,368.49,0,7475,611,63,55,368.49,15,0.73,0
779,5754.73,28,327.3,0,6550,634,62,70,327.30,23,0.67,0
780,4679.27,26,414.87,0,7700,647,55,66,414.87,13,0.80,0
781,5147.35,26,398,25,7125,578,55,66,398.00,15,0.77,0
782,5176.58,28,468.13,0,9100,634,59,69,468.13,13,0.81,0
783,4892.25,26,392.08,0,11650,578,60,71,392.08,15,0.79,0
784,5013.68,26,419.17,0,9175,571,60,77,419.17,14,0.82,0
785,8400.66,22,300,1153,3625,420,43,68,300.00,40,0.41,1
786,3795.8,22,250,0,2900,503,59,69,250.00,18,0.74,0
787,2055.16,20.5,543,17,7175,521,50,68,543.00,4,0.94,0
788,4057.47,20.4,515,31,7000,582,51,71,515.00,9,0.87,0
789,1220.49,15.21,207,0,6850,648,120,36,414.00,3,0.92,0
790,1730.86,14.16,226,8,10325,660,120,34,452.00,4,0.88,0
791,2573.08,15.13,242.72,0,8475,673,120,35,485.44,6,0.83,0
792,3370.44,15.17,251.82,0,9700,591,122,33,503.64,7,0.79,0
793,3740.52,21.5,375,53,6425,581,54,66,375.00,11,0.83,0
794,12649.83,19.9,539.16,0,12725,479,70,68,539.16,30,0.56,0
795,7730.41,22,544.68,71,14700,589,54,66,544.68,17,0.74,0
796,4949.41,23,428.05,187,5900,608,48,68,428.05,13,0.81,1
797,5109.67,18.03,275,0,9500,636,129,31,594.00,9,0.71,0
799,3064.89,13.57,250,0,13800,622,116,31,540.00,6,0.81,0
802,12904.7,18.09,285,75,13825,669,134,28,615.60,25,0.11,0
803,5745.57,18.03,296,47,9750,605,129,29,639.36,10,0.66,0
804,4592.45,23.33,509.92,0,11325,463,52,63,509.92,10,0.84,0
805,4785.95,23.37,260.16,823,3975,414,48,66,260.16,23,0.65,1
806,11959.13,18.45,592.57,0,14150,667,69,48,592.57,24,0.50,0
807,5477.8,18.65,295.8,0,6400,556,62,64,295.80,22,0.66,0
808,10725.81,18,423.76,110,10450,524,68,66,423.76,32,0.52,0
809,6965.27,21.31,359.01,1,5100,589,68,72,359.01,24,0.67,0
810,7317.54,17.22,465.09,0,8975,529,62,72,465.09,18,0.75,0
811,2468.46,16.88,379.06,13,6625,509,47,66,379.06,7,0.89,0
812,3676.84,16.87,373.97,27,8850,458,47,66,373.97,11,0.83,0
814,17529.88,29.9,1133.98,223,21225,582,50,66,1133.98,20,0.70,1
815,3356.55,27.89,198.4,35,4400,550,103,32,428.54,9,0.72,0
